reviewTitle,reviewBody,final_sentiment,cluster,aspects
Not for everyday sitting,"Perfect for my small space, assembly required no effort very easy , sturdiness not good I have to keep tighting the screws and we only sit at it about twice a week so it shouldn't be happening",positive,0,"['Perfect', 'effort', 'sturdiness']"
Buen producto!,Buen producto!!!,positive,0,[]
"Best for speech, sturdy, comfy, calls so so.","As other stated the bass sounds are reduced for music, but works terrific for podcasts etc. The power on power off volume cannot be adjusted and should be turned on or off we’re not attached to your ears. It is very very loud. It is easy to have these headphones too loud when trying to override exterior noises, like on a bus or around other’s loud speech. This could result in tinnitus. However they are terrific for listening to things at low-volume without disturbing others, in bed, while they are on phone, etc. Voice to speech text does not work well with this, and background noises are amplified for persons receiving your phone call. This being said the value for money and comfort is hard to beat. It does not have a volume adjustment on the headset, but this can be completed by pushing them further forward from the years to reduce sound or slid back closer to the year to make the volume louder.  These seem very sturdy, long battery life. I have a small head and sensitive este, these don’t hurt me, very comfortable, leaves enough room behind my head to insert a forefinger yet ride well during activity.  I can also wear sunglasses with them, or one earpiece for two way radio and still get good benefit from the headphones.",positive,0,"['reduced', 'works', 'is', 'is', 'have', 'override', 'override', 'speech', 'are', 'without', 'work', 'work', 'amplified', 'money', 'is', 'make', 'life', 'este', 'have', 'hurt', 'room', 'ride', 'benefit', 'get']"
Happy Customer!!! Happy Kitties!!!,Update - we decided to add a backdrop to the cat wall. We ordered a no glue mural on Amazon. I absolutely love it. Can you see the cat shelves on the wall? Can you see the cats?  Mission accomplished.,positive,0,"['love', 'accomplished']"
Solid case,This is a very well made case. It feels tough enough to withstand accidental drops but not too rugged to comfortably hold . I love that they give you additional glass screen protectors and rear camera protector.,positive,0,"['made', 'feels', 'tough', 'drops', 'hold', 'love']"
Almost perfect but needs a hanging hook,This is such a great teaching tool. It is perfect in every way except that it needs a hook for hanging. Seems like you can only hang it on a nail.,negative,1,"['tool', 'is', 'for', 'hang', 'Seems']"
Great fit but hot,Hot fabric but great fit,positive,0,"['fabric', 'fit']"
Control you garage with your phone!,"Great WiFi controller so far. Super easy install. Lots of provided options for install but I only needed a few screws. Works great so far, will probably buy another one for the main garage.",positive,0,"['controller', 'install', 'install', 'buy', 'Works']"
Poor mounting rubber.,Fell apart on the first ride!!!,positive,0,['Fell']
Well made,Fit perfectly. Nice feel to the material.,positive,0,"['Fit', 'feel']"
Size down if you want a snug fit,"I’m 5’2, 125lb and wear a size 2, about a 27in waist. I usually get a medium in tight workout shorts but they swallowed me. I exchanged for a small and it was much better but I think the XS would fit me perfectly. If you like a more snug fit, definitely size down. Now that I have the right size I really like these and will be ordering more. Buttery soft, comfortable and super high waisted.",positive,0,"['was', 'fit', 'size', 'size', 'like', 'waisted', 'soft', 'high']"
I wanted denim and it wasn’t,Fit fine but wasn’t what I thought. I thought it was denim and it’s not,negative,1,['fine']
Nice phone case at good price,Nice product at fair price,negative,1,"['product', 'price']"
Good size and price,Liked the design  size and price. Have not had it long enough to have tovclean it,positive,0,"['Liked', 'long']"
It is very very quiet,This machine is so quiet I love that about it. It is also compact so didn’t take a lot of room in my night stand. I also like the blue it makes it look refreshing. A very nice mist comes out and feels clean.,positive,0,"['is', 'quiet', 'is', 'like', 'look', 'mist', 'comes', 'feels']"
Amazing!,This was amazing!,positive,0,['was']
Simmer up and down perfectly,"Very compact and lightweight. Sturdy construction. Work flawless. Replacement parts (rubber seals, etc) are easy available.",positive,0,"['compact', 'construction', 'flawless', 'flawless', 'available', 'are']"
Measure so you get the right size,This would be great as far as comfort if I got the right size,negative,1,"['be', 'as', 'size']"
Highly recommend!,"Easy built, really sturdy, bang for your buck!",positive,0,"['bang', 'bang']"
"Great Product, terrible handling !","I buy this product from Amazon on a regular basis and really enjoy it.  This time around, when I opened the the plastic package, this is what I found.  The box was torn apart and worse, a number of chocolate bars were cracked or broken to pieces.  I understand, Amazon has little or no control of products after shipment, but I just had to vent this time.  Sorry Amazon !  Erik M.",negative,1,"['buy', 'apart', 'torn', 'cracked', 'had', 'Amazon']"
Best purchase ever,"I bought this for my ceramics/pottery class so I could have more tools to work with and I absolutely don’t regret it! I only had one tool break with me using them everyday for the whole year. It was my fault though because I probably wasn’t using it the way it was intended for, but oh well.",positive,0,"['tools', 'bought', 'had', 'was', 'was']"
Great product,The fan puts put an excellent stream of air and is nice and quiet. Very easy to assemble. I love it! Highy recommended.,positive,0,"['stream', 'is', 'nice', 'easy', 'love', 'recommended']"
"wow, so good","I've used other toys of this type, but this one is the best by far. The rotating and movement feels fantastic, and the moan sounds are very helpful. i love the different modes and the charge lasts over several uses, so you can use it a lot before you need to charge it again, provided you clean it between uses.",positive,0,"['is', 'feels', 'sounds', 'are', 'love', 'provided']"
Nice product,"Well executed brass construction, Quality product.",positive,0,['executed']
not all there,i will never order from you again i was suppose to get a small bowl and a spoon with the steamer but all i got was the steamer will never order from you again,neutral,2,[]
Not worth it,Not crazy about this model/brand. I’ve bought 5 different ones now seeking a good one and this one is hard to keep the attachments on and they fall off while using.,positive,0,"['crazy', 'one', 'is', 'is']"
So cute,"Super cute and fluffy. Got these for my daughter and she loves them! They are a bit big for her but that’s fine, since the design goes around your whole foot no need for it to fit.",positive,0,"['cute', 'cute', 'Got', '’s']"
Small and works well,"Love the small size, the light. Purchased a different one as well as this to have a less expensive vacuum on my second floor. So far so good. Like that is small, has a mount, adjustable as well. Hopefully will last.",positive,0,"['Love', 'as', 'vacuum', 'good', 'is', 'has', 'adjustable']"
Investment,Exactly as described,negative,1,[]
"Tough plastic, durable.","Have used twice to transport a mattress, once strapped tightly on top of my Forester. Still in good shape for next move.",positive,0,"['on', 'shape']"
BROKEN x2,"How disappointing. I liked the style of these, easy order, quick shipping, but they dishes arrived damaged. I quickly returned, nice and easy, only to receive a 2nd set chipped/damaged. Returned again. Unacceptable.",positive,0,"['disappointing', 'liked', 'order', 'arrived', 'returned', 'nice', 'set', 'Unacceptable']"
Good,Great product at a great price. Buy it and you’ll be glad you did! Makes a great gift too.,positive,0,"['product', 'price', 'be', 'gift']"
Beautiful!!,I absolutely love this snow globe.  It comes on automatically each evening and works perfectly.  Just love it.,positive,0,"['love', 'comes', 'works', 'love']"
Poor shipping guidelines,"Other than the fact that one of the nightgowns was literally: thrown into the bag it was shipped as it was extremely wrinkled, item was fine.",negative,1,"['shipped', 'was']"
Great selection of colors.,The bands are colorful and a little stiff.  Improve with wear and time (flexibility of the bands).,positive,0,"['are', 'colorful', 'Improve', 'Improve']"
Beautiful,These are very beautiful in the garden,positive,0,['are']
easy to install and cheap price~,It got the right amount of padding on it and lightweight. Spent me only 5 mins to install. I'm happy with the purchase!,positive,0,"['amount', ""'m""]"
Durable and fun.,This product is exactly as expected. My grandson loves Imaginext and I was happy to add to his collection. It is easy to play with and fun.,negative,1,"['loves', 'was', 'is', 'with']"
my daughter loves it!,just as described and expected. faster than expected shipping.,neutral,2,['expected']
i just love it so muchs,good for your money,positive,0,['good']
Cable is Very Thick,"Does the jo.  I should have considered the dimensions a bit more carefully.  The cable is rather unwieldy.  But if you need it to stay in place, this might be the one for you.",negative,1,['is']
Received scuffed shoes,Shoes have been worn,negative,1,[]
Still eats poo,I have 3 rescue dogs 15 to 25 pounds and give them two  per day but still can't get 2 of them to stop eating poo. They love these no poo treats but still eat most of the poo. I have tried other brands and two jars of this brand but will not be buying any more.,positive,0,['love']
Face is smooth & is clearing,I use my steamer at least twice a week & I see a noticeable difference. Highly recommended.,positive,0,['recommended']
doesn't work,"stopped working after 5 days, I don't have time to return it, I bought an other brand",positive,0,['stopped']
Good robe fits a bit smaller than expected,I purchased two robes of similar style in the same size and one was a tad too small and one a tad too big.  Its probably due to  the of the overseas manufacturing (China?),positive,0,[]
Great cream,"I just love this cream. It works 100% on any cut, scratch, bruise. It’s truly a good antibiotic. It covers wounds and cuts in a short period of time. It is my first choice over the counter. Thank you for delivering this cream so fast. Thank you.",positive,0,"['love', 'works', 'bruise', 'on', 'antibiotic', 'covers', 'Thank', 'delivering', 'Thank']"
Extremely comfortable,"Most comfortable undies I have worn in ages.  Doesn’t ride up, doesn’t bind., plenty  of crotch space. Lots of flattering colors too.",positive,0,"['undies', 'colors']"
Awesome,Great purchase,positive,0,['purchase']
Good,Good,positive,0,['Good']
"It protects my phone, is easy to grip, and it doesn't fade.",I've had this case for 3 months and it still looks new and has protected my phone from a few unexpected DROPS to the ground. I love the purple and it wipes clean with just a damp cloth. If I ever get tired of this color I will definetly order another one of the many colors it comes in.,positive,0,"['looks', 'DROPS', 'love', 'wipes', 'get']"
I love this.,So soft and perfect thickness,negative,1,"['thickness', 'soft']"
Great!,Exactly what I expected.  This will be super handy for my art projects.,negative,1,"['handy', 'be']"
Easy to use,My kids are liking it very much. This is very large inflatable pool. Very easy to use and good quality of it.  It takes a few seconds to inflate.,negative,1,"['liking', 'easy', 'quality']"
Good,Great product,positive,0,['product']
Good size for an iPad,Perfect size for an iPad and a few other things.,positive,0,['Perfect']
Product was delivered on time but didn't come with the Rechargeable battery.,Product would probably work fine I had to go buy AA batteries because the Rechargeable battery didn't come with the product but the charging cable did.,positive,0,"['work', 'work']"
N/,No review provided,positive,0,[]
Not so good,It doesn’t even kill the bugs.  I had to spray everyday for more then one week to get rid from Cockroaches,positive,0,"['kill', 'kill']"
Good not great,"The look is cute and it is fairly comfortable,  but the watch face is a bit too heavy for it to feel secure.  I am constantly fighting to keep it in place on my wrist.",negative,1,"['is', 'comfortable', 'is', 'feel']"
Nice light weight men’s flannel robe,"Purchased for my Dad and he loves it- soft, light weight flannel that is nice and warm",positive,0,"['Purchased', 'flannel', 'is', 'nice']"
Best jacket,"This is my favorite jacket this far,  stylish and actually warm",positive,0,"['jacket', 'stylish', 'stylish']"
"great size, not too big or too little","Love that it is two tone gold and silver, it is a great size, too. I have a small face and some of the coins are just too big  by the time you add a decent frame.",positive,0,"['is', 'is', 'size', 'frame']"
IMPRESSED,"I was skeptical about buying something like this from Amazon, but I am highly highly impressed with this product!! It is so easy to use and is great quality!! I have done my finger nails, toenails, and have done my sisters as well!! I would recommend this to anyone who wants to save the money and do their own nails from home, you won’t regret it!",positive,0,"['was', 'something', 'am', 'is', 'quality', 'done', 'regret', 'regret']"
easy,it was easy to use,negative,1,['was']
Too much spring.,"It’s too difficult to have good control over the pups, as there’s too much give on both leash sections.",positive,0,"['’s', 'control']"
Perfect from the box.,Easy setup out of the box. I am not a drone expert at all and was able to fly in 10 min.,positive,0,['setup']
Lots of fun for kids,So many stickers  :) they help me to keep may little girls busy when i needed:),positive,0,[]
For beginners,For beginners,negative,1,[]
Yes,Yes,negative,1,[]
"It will keep your pants up. That's what you want, right?","Love that it's cut-to-fit. Very sturdy, and keeps my pants up when I'm carrying. That's the important part. And I have a chronic case of noassatall. Can carry a P80 in a belt loop OWB kydex without flashing a vertical smile. Very metal. ????",positive,0,"['Love', 'sturdy', 'part', 'case', 'flashing']"
Great product and great customer service,Bought the wrong size but they sent me the right one quickly. Vivid color on the collar and it seems durable. Thank you!,negative,1,"['size', 'one', 'color', 'seems', 'Thank']"
Very comfortable,"I really liked the product true to size very comfortable, worth of price better than paying $60 This product is worth off $100 , recommend",negative,1,"['recommend', 'size', 'comfortable', 'size', 'is', 'recommend']"
Perfect compact wallet,Awesome design!,positive,0,['design']
"Sorry, not nearly as good as advertised.","I would have returned it, if it hadn't been so inexpensive, and I destroyed packaging too soon.",positive,0,"['been', 'returned']"
My puppy chews everything but this,Maybe this bone is great for some dogs but my teething puppy never picked this up.,negative,1,['is']
Very small,Very small,neutral,2,[]
Great looking and comfortable too,"The socks are made well, fit perfect and look good. Just the right amount of elastic so the don’t fall down yet not bind.",positive,0,"['perfect', 'made', 'look', 'amount', 'fall']"
It’s okay,"It’s not thick enough, everything popped when cooked",positive,0,['thick']
Loo,Little smaller than i thought.,positive,0,[]
Lightweight,So worth to buy it with my bike.,neutral,2,['worth']
Very confortable.,"This is by far the best muzzle I’ve ever try on my dog. She was able to drink water while using it, and I was able to to even gave her treats with the muzzle on for training.",negative,1,['muzzle']
Do NOT buy this controller,This controller was only used TWICE in short sessions before we realized the LB button didn't work. Over $100 wasted on this trash defective controller.,negative,1,"['realized', '100', 'controller', 'controller']"
Not for children under 6,I would not recommend for children under 6. I purchased this for my nephew and the food pieces are to small.,negative,1,['recommend']
Cute and the right size,SO cute and don’t make my ears itch. Weren’t hard to get in.,neutral,2,"['cute', 'make', 'Were']"
Broke n cheap,Arrived broken.,positive,0,['Arrived']
Great!!!,Got the timer for work because we needed something that wouldn’t just fall off the oven and this timer is perfect. I wish it were a little louder but it does the job for sure.,positive,0,"['for', 'something', 'is', 'were']"
GREAT FIT,These fit perfect in my ford ranger. The color was exactly as described and easy to put on.,positive,0,"['perfect', 'described']"
High hopes,It was fine until the top broke and I was able to spray at all. Only hot a few uses out if it. Never had that happen to me before.,positive,0,"['was', 'broke', 'was', 'uses']"
Super cool for a month,"I loved this product for the first few weeks, it gradually got dimmer every time it turned on. It’s barely on now",positive,0,"['got', 'got']"
Great Soap Dispenser,"I love this soap dispenser.  It makes washing hands so much more sanitary and safe. It is easy to use and refill, an all around great product.",positive,0,"['love', 'sanitary', 'is', 'product']"
Love this blanket,I like everything about this blanket,negative,1,['like']
Wrong size,Was sent the wrong size,negative,1,['size']
Unexpected,"This ramen was absolutely DELICIOUS!! The spice is definitely there, but I’m sorry in my opinion it was NOT the spiciest ramen in the world. BUT the flavor is the best taste you will have! My god it is so good. I wish I took pictures, but when I thought of it, the bowl was already gone. Would definitely recommend this to anyone. Still a great experience,  but everyone is different so if you’re not into spicy then you should still be cautious because of some people this will be VERY spicy. Enjoy!",negative,1,"['was', '’m', 'taste', 'is', 'recommend', 'experience', 'Enjoy']"
Precio y calidad,"Muy económico y práctico. Me adelanta el trabajo, pues siempre tengo un reemplazo con el cable.",positive,0,[]
"These are all off, none of the butterflies are cut right",15 bucks and a container of garbage bad cuts that look like junk and it says not returnable. Trash they are just trash,neutral,2,"['bad', 'cuts', 'look', 'like', 'are', 'are']"
Comfy,So soft and comfy,neutral,2,"['soft', 'soft']"
Awesome,Amazing hands down,neutral,2,['hands']
overpriced,"overpriced, cannot believe I paid almost 7 dollars fro 2 oz of seed.  1 1/2 meager pickings and had to pull them up.",positive,0,"['believe', 'pickings']"
"Excellent Steam Mop, Easy to Use","We bought this mop after something oil based got on our tiled kitchen floor while we were moving and we were having trouble cleaning it. We found this steam mop, ordered it & it arrived quickly and did the trick. The floor looked great & it did not take a lot of time. It is lightweight & very easy to use.  Compact, so uses minimal storage space. We were very pleased with the job it did & thrilled it reduced the time we spent getting our house ready to sell. I would definitely recommend this product.",negative,1,"['having', 'trouble', 'did', 'looked', 'lightweight', 'uses', 'were', 'did', 'getting', 'recommend']"
Just like my old magpul,Great quality. I'm a long time user of magpul cases and this one is identical.,neutral,2,['quality']
Love it,Works great with my echo show 8,positive,0,"['Works', 'Works']"
Fit and comfort,I returned these. They were too big and they just were stiff and not comfortable.,negative,1,"['were', 'stiff']"
OMG GET JT NOW,I WAS NERVOUS ABOUT THE SWEATER TURNING OUT TO BE LOW QUALITY BUT ITS WAY BETTER THEN THOSE $50 SWEATERS AT TRAGET! ITS SO COMFY AND SOFT AND LIGHT! IM 5’7 AND I GOT A TIMES LARGE SWEATER! AGAIN $15 FOR THIS CHEAP SWEATER THATS SO GOOD QUALITY OMG I DEFR RECOMMEND. And that wasn’t first fast typing response,negative,1,"['WAS', 'WAY', 'COMFY', 'COMFY', 'SWEATER', 'QUALITY', 'RECOMMEND', 'typing']"
Size is just right,Great little leash for my little ????,positive,0,['leash']
Great product,Used for covering thanksgiving turkey.  It worked great.,neutral,2,"['worked', 'worked']"
grinder foot switch,instant off & on,neutral,2,[]
X-cell ant!,Great figures!,positive,0,['figures']
Pet pleasing,My kitty purrs when you use it!,negative,1,[]
My cat LOVES this!,"My cats LOVE chasing the little chopper discs!  So much fun!  And if they bring them back to you like one of mine does, you don't even have to get up, the fun continues!",positive,0,"['cats', 'fun', 'bring', 'continues']"
It’s a really good temporary PPF,It was my first time trying track armour on my car and it was a lot easier to deal with than masking tape. Tape is thick enough where i dont need to add a second layer. Really worked well for me after 1 full trackday. Taking the tape off was as easy as removing plastic coverings on a brand new stuff.,positive,0,"['was', 'thick', 'worked', 'worked', 'was']"
This is my second and pleased,Needed a extra one. Highly recommended.,positive,0,['recommended']
Great Purchase,It is Very sturdy,negative,1,['is']
Beautiful,This is a cute little clear decorative case that I bought for my new Iphone 12 Pro Max.,positive,0,"['case', 'case']"
No scent is a good scent ��,I appreciate the natural scent of the ingredients instead of masking them with something unappealing. It didn’t work for what I was hoping for but that’s unrealistic and overall it’s a good product.,positive,0,"['appreciate', 'something', 'work', '’s', 'product']"
Colors,The reviews are great and the colors people have bought look greats I do not recommend the green as you can see the sleeve is way way darker and doesn’t look right. I tried it on hoping it would look better but nope. Going to return and maybe try a different color.,negative,1,"['are', 'are', 'recommend', 'see', 'look', 'look']"
Multi use,Okay haven’t actually used it... for its intended purpose. I just like bouncing on it while watching TV at the moment.  It’s actually a good physical therapy tool? But great quality. Love it. Thanks!,positive,0,"['like', 'tool', 'quality', 'Love', 'Thanks']"
DISAPPOINTED. Hot to hold and cracked after 3 months,"The feel and look of this is great and I wanted to love it. I bought for my husband for Christmas and he doesn’t use it because it’s so hot to hold, which also means it’s not keeping in the heat. It says it’s dishwasher safe but I never put it in the dishwasher and after 3 months the inside cracked.",negative,1,"['is', 'wanted', '’s', 'says', 'put']"
missing items and broken package,The box itself came completely demolished and there was only one sword in it. The sword itself was fine but I can't cosplay with just one of them,positive,0,"['demolished', 'was']"
Perfect funny mug!,"Love this mug! This made my son laugh when I gave it to him, kids have less social lives now so gives them a chuckle! Great quality and perfect for tea for my college boy!",positive,0,"['Love', 'quality', 'quality']"
Newborn,This is a cute outfit and he looked handsome,positive,0,"['outfit', 'looked']"
Works as expected,Works as expected. Excellent warmth And comfort,positive,0,"['Works', 'warmth', 'warmth', 'warmth']"
The carbon fiber is a sticker!,The carbon fiber Lexus license plate covers sold by Tuesnut are very cheap and the carbon fiber is a sticker that peels off almost immediately.  Once it owes off you are left with a blank metal cover.  Total garbage.,positive,0,"['are', 'garbage']"
Don’t waste your money,Garbage returned it ....never worked,neutral,2,"['returned', 'returned']"
Product works great for my grand puppies,Love the product just wish they sold larger bottle .,negative,1,['wish']
Sturdiness,The size of the dinner plate is generous. .,positive,0,['is']
Great!,These are great!,positive,0,['are']
Quality chairs,We are very happy with these chairs. Easy to put together. They seem like they are made well and  good quality.,positive,0,"['are', 'Easy', 'made', 'quality', 'quality']"
Great price and perfect color for me.,I appreciate being able to buy an Estee Lauder product in a small size for two reasons - I can try it out without spending a fortune - It fits nicely in my makeup bag in my small purse. I have purchased this small one twice. I even bought one for my niece. Thanks,positive,0,"['try', 'spending', 'fits', 'Thanks']"
Nice design... durable and versatile,Well sized. Strong construction. Larger one can be used for crafting with tongue depresser sticks and scissors fitting nicely.,positive,0,"['sized', 'construction', 'fitting']"
Product NOT perfect,Quick delivery.  The electronic switch works as it should. The spring catch of the body is misaligned causing the door to pop open and stop the wash cycle.  Be cautious with this distributor.,positive,0,"['works', 'misaligned']"
"Sturdy, easy to assemble potty chair",I bought this for my 3 year old. She was so excited to get to use the big potty. The chair is very easy to assemble and very sturdy. I am pleased with the seat cushion it is soft and not hard plastic. My daughter loves that their are handles for her to hold to feel more comfortable. I definitely recommend for any parent potty training their little one/ones.,negative,1,"['was', 'is', 'assemble', 'am', 'is', 'soft', 'loves', 'feel', 'recommend']"
Great Scent,The scent was great!,positive,0,['was']
Vibrant colors.,I've used them for outdoor cushion seats. Added a lot of spark to my garden.,positive,0,[]
Great product,The ability to charge my phone while on the stand.,positive,0,[]
Spend more money,Three are off from the other's. None are the same and one wouldn't even come on. Of course,positive,0,[]
Nice,Not as shiny as it looks on website. But it has a nice vintage look. Looks like it cost way more than it does. (Ignore the blue ting in my photo it is reflecting something in the room.),negative,1,"['shiny', 'look', 'cost', 'reflecting']"
Swims like a motorboat,My Arthritic dog spends more time floating and chasing balls. I don't have to worry. Fit is fab and easily adjustable.,positive,0,"['have', 'fab']"
"Great compression sleeves, for winter","I use them as compression sleeves after my vein procedure. They are great for that purpose. Thick, elastic, comfortable, and good looking design patterns. Don’t think they’ll stay on if you are running or doing other exercises. They are too thick for summer but great for winter.",neutral,2,"['are', 'elastic', 'patterns', 'thick']"
Great product,Look forward to using this product  has a great scent! Will be posting a follow up very soon!,positive,0,['scent']
Good magnet product as described,Good magnet product as described,neutral,2,['product']
Excellent affordable rangefinder watch,Easy to use and has only the features I want to use.  I highly recommend.,positive,0,"['Easy', 'recommend']"
Best Sheets Ever,Been sleeping on them for a few months and they get softer after every wash. Cannot imagine buying any other brand again.,negative,1,['get']
Rip off it says height 7 inches barely 3 inches very unhappy,Wow this is a rip-off it said seven inches barely 3 inches it's so tiny you can't even use it for display very unhappy with this purchase not worth the value and not worth gifting,negative,1,"['is', 'is', 'display', 'use', 'worth']"
Price,"Great product, awesome price. Purchased another set for my daughter.",positive,0,"['product', 'price']"
So bright,It's ok ????,positive,0,[]
Check rear mount alignment before you scratch your fender,"It is a simple install, but I had to bend the rear mount to match the contour of the fender, which in turn cracked the paint. For $20, it will hold my bag from rubbing in my fender. It’s worth the money",negative,1,"['fender', '’s']"
Finally Clean Glasses!,"Great product and great value. Cleans well, doesn't streak, and has no scent. And the cleaning clothes that are included are great also.",positive,0,"['product', 'value', 'streak', 'streak', 'are']"
Great buy !,"Hair Quality is great , little to no shedding . I’ve had it for 2 months and wear it literally everyday . I got 20 inch because 24 was sold out but I will be buying it . The 20 inch length is good but I would prefer longer . It’s kinda thin but looks natural",negative,1,"['is', 'is', 'is']"
Easy,Easy Assembly,positive,0,['Assembly']
The update ruined the utilization,"We love the fire stick but with the recent update to the new format has ruined the ease of finding what you use. Having tiny icons of your most used apps is worthless. It now looks like our Samsung tv menu, which we hated, which it why we installed the fire stick. Super annoyed!",positive,0,"['love', 'love', 'ruined', 'is', 'looks', 'menu', 'annoyed', 'annoyed']"
Wouldn’t buy again,A little small no padding,positive,0,[]
Book shelf,Love the color of shelves super cute fits mini or small books only,positive,0,"['Love', 'cute', 'books']"
Good,Good,positive,0,['Good']
If you want control of light this is it,Small precise hair light,positive,0,['light']
Read This First,"This little lamp is beautiful. The only reason I'm removing a star is because the directions are incomplete and unclear, which led to frustration and wasted time. (You must tap the electrical port to change the brightness and color, after it has charged.) This will make a great gift for a hard-to-buy-for relative.",positive,0,"['is', 'are', 'incomplete', 'are', 'led', 'time', 'gift', 'for']"
"Not too thick, not too thin",Like the colors and they are the right thickness to get my shoes on.,negative,1,"['are', 'thickness']"
Ecco are great shoes,I used to wear Cole Haan shoes but about 6 years ago they stopped making the nike airs so I bought a pair of Ecco . So much better quality shoes the leather is thicker . The shoes are more comfortable . I have bought 3 pair since and all 4 pair are still holding up great and I walk over 10k steps a day .,positive,0,"['shoes', 'are', 'holding']"
Finally ... relief!,Extremely happy with this. Just the right amount of support for me. I bought two more!,positive,0,"['happy', 'amount', 'of']"
A must have.,I use it for much more than celery and it's great. I bought it because of Medical Medium :),negative,1,"[""'s""]"
Great for price,Great socks,positive,0,['socks']
0,No,positive,0,[]
5/10 Stability and 3/10 for Fishing,"I don’t believe this product should be advertised as a fishing kayak, as shown in the photographs provided. The stability of this kayak is also less than I expected when trying to fish off the side of it. Despite this the kayak does seem durable, fits in the trunk of a coupé with room to spare, was shipped quickly and with all the advertised pieces. Just aware that the warranty is not active for amazon purchases. I’ve decided to purchase the 285FPB from their official website, as it was advertised as strictly a fishing device.",positive,0,"['is', 'seem', 'device']"
They save time and wasted potatoes,Peel potatoes,negative,1,[]
Good system,It’s a great system. Plays well. And the graphics are amazing. It’s a PlayStation. It sells itself,positive,0,"['system', 'Plays', 'are']"
works great - great color,love these colors - need to find larger bottles!!!,negative,1,['need']
Worked great for road trip,It was easy to install and worked great for the family road trip.,positive,0,"['was', 'was', 'worked']"
Olive Oil?,This product is just olive oil with calendula flowers added. Who knows how much calendula,negative,1,[]
Stick with what you know.,The blade doesn't cut well at all. It is not smooth and vibrates I had to take it off the saw after a few cuts. I have 4 other saws and have used these type of saws for years that is concrete / demo saws.,positive,0,"['cut', 'is', 'is']"
Cute Cute Cute,Very Cute!  Fast shipping,positive,0,"['Cute', 'shipping']"
Artfully crafted cobalt drinking glasses,"I am thrilled with my purchase! Perfect size, thickness, weight, and beautiful cobalt color. I for sure will order more from NOVICA. Definitely worth the wait, all the way from Mexico! Quality shipping packaging.",positive,0,"['am', 'size', 'color', 'worth']"
Good quality,"True to fit for the most part, the hip area of the pants are a little big on me but i love the color and quality",positive,0,['love']
Awesome for book shelves & tea shelf,Small but very strong and sturdy. I know they’ll hold up these bookshelves perfectly.,positive,0,"['Small', 'strong', 'hold']"
"Great product.  Holds our 100+ pound part ""sled dog"" back",Product works great.  Freed my hands when I'm hiking so I can use my hiking poles.,positive,0,"['works', 'works', 'Freed']"
Bit by rip-off shark,"poor craftsmanship, amateur paint, non-realistic characterization, not fit for a 2-year old or older.",positive,0,"['craftsmanship', 'characterization']"
Super easy.,Everything you need for an oil change except an oil filter wrench,neutral,2,[]
Best cup warmer ever,So far everything is great!,negative,1,['is']
Not breathable,"I suppose I should have been more suspicious about a mattress cover that claimed to be both breathable and water-proof. The inside of it is lined with some sort of plastic or rubber, which may be waterproof, but is not breathable. You can test this yourself, put it against your lips and blow. No air passes through. There's a softer fabric over the top, but that's not going to provide any sort of air flow. If you have a mattress that's supposed to be breathable or have a cooling effect, a sheet of plastic between you and it pretty much nullifies the effect.",positive,0,"['been', 'lips', 'fabric', 'over', 'effect', 'much']"
Good,Working,positive,0,['Working']
Nice Product,Worth it.. because of nice features like monitoring energy.. I am using for morning breakfast egg boiler.. scheduling is super nice. very happy with purchase,positive,0,"['Worth', 'features', 'features', 'nice', 'is', 'happy']"
Love it,My kids love it. It helps them organize their dolls and accessories,positive,0,['love']
Loooooves it!,Gave as a Christmas gift and the giftee can’t stop praising it. The pic is clear and the size is huge.,positive,0,"['stop', 'is']"
Es hermoso!!!,"Leí los comentarios y note que las tallas no eran exactas, fui precavida y compré una talla menos, le va quedar perfecto!!! Es hermoso, excelente calidad �",positive,0,[]
colors don't match,Seems too thick and doesn't match skin.  The colors look different than shown and very hard to find one to match skin.,negative,1,['look']
They fit.,"The undies are soft, stretchy and comfortable.",positive,0,"['are', 'stretchy']"
Works well,"this works great, very slim design and intuitive. All charging ports/stations work well, I like that you can just use the single charging station for the phone and separate the iWatch and AirPod. Perfect for office or in home.",positive,0,"['works', 'design', 'design', 'like', 'work', 'like', 'Perfect']"
Hurry up to purchase!,Best phone of 2020,negative,1,['phone']
Bad,Did not last after first wash,neutral,2,[]
The best stylus I’ve ever purchased.,"This stylus is the best stylus I’ve ever purchased. The fiber tip is soft and easy to use. The clear disk tip—well i didn’t think at first it would work as well as a regular point rip, but it does and even better then my other tip stylus’s.",positive,0,"['stylus', 'is', 'soft', 'tip', 'think', 'think', 'as', 'work', 'then']"
Most comfortable pillows for the price,Had these for 2 months and they're still very comfortable.  I really like them. For me these are the  best pillows to sleep on.,positive,0,"[""'re"", 'like', 'pillows']"
Sharp sturdy knife set,"Seemingly great set of knives, comfortable in your hand, extremely sharp.",positive,0,"['set', 'of', 'set', 'set']"
Just what I needed,Perfect for home and travel.,positive,0,['Perfect']
good value,does what its supposed to do,neutral,2,[]
Great robot vacuum for a great price,Great vacuum for a great price. This is the first robot vacuum we have purchased. It is simple to operate and is great for picking up the daily dust and and hair they the week to keep things looking good and has helped cut back on use of our upright corded vacuum.,positive,0,"['vacuum', 'price', 'is', 'picking', 'looking']"
