reviewTitle,title_result,reviewBody,body_result,aspects
Highly recommend!,"[{'overall_score': 'positive', 'aspects': ['recommend'], 'sentiments': [{'word': 'recommend', 'sentiment': 'positive'}]}]","Easy built, really sturdy, bang for your buck!","[{'overall_score': 'positive', 'aspects': ['bang', 'buck'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'sturdy', 'sentiment': 'positive'}]}]","['recommend', 'bang', 'buck']"
"Great Product, terrible handling !","[{'overall_score': 'positive', 'aspects': ['product', 'handling'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'terrible', 'sentiment': 'negative'}]}]","I buy this product from Amazon on a regular basis and really enjoy it.  This time around, when I opened the the plastic package, this is what I found.  The box was torn apart and worse, a number of chocolate bars were cracked or broken to pieces.  I understand, Amazon has little or no control of products after shipment, but I just had to vent this time.  Sorry Amazon !  Erik M.","[{'overall_score': 'negative', 'aspects': ['product', 'amazon', 'basis', 'time', 'i', 'package', 'i', 'box', 'number', 'chocolate', 'bars', 'pieces', 'i', 'amazon', 'control', 'products', 'shipment', 'i', 'time', 'amazon', 'm'], 'sentiments': [{'word': 'enjoy', 'sentiment': 'positive'}, {'word': 'worse', 'sentiment': 'negative'}, {'word': 'cracked', 'sentiment': 'negative'}, {'word': 'broken', 'sentiment': 'negative'}, {'word': 'vent', 'sentiment': 'negative'}, {'word': 'sorry', 'sentiment': 'negative'}]}]","['product', 'handling', 'product', 'amazon', 'basis', 'time', 'i', 'package', 'i', 'box', 'number', 'chocolate', 'bars', 'pieces', 'i', 'amazon', 'control', 'products', 'shipment', 'i', 'time', 'amazon', 'm']"
Best purchase ever,"[{'overall_score': 'positive', 'aspects': ['purchase'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}]}]","I bought this for my ceramics/pottery class so I could have more tools to work with and I absolutely don’t regret it! I only had one tool break with me using them everyday for the whole year. It was my fault though because I probably wasn’t using it the way it was intended for, but oh well.","[{'overall_score': 'positive', 'aspects': ['i', 'ceramics/pottery', 'class', 'i', 'tools', '’', 't', 'regret', 'tool', 'break', 'year', 'fault', 'i', '’', 't', 'way'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'regret', 'sentiment': 'negative'}, {'word': 'break', 'sentiment': 'negative'}, {'word': 'fault', 'sentiment': 'negative'}, {'word': 'well', 'sentiment': 'positive'}]}]","['purchase', 'i', 'ceramics/pottery', 'class', 'i', 'tools', '’', 't', 'regret', 'tool', 'break', 'year', 'fault', 'i', '’', 't', 'way']"
Great product,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",The fan puts put an excellent stream of air and is nice and quiet. Very easy to assemble. I love it! Highy recommended.,"[{'overall_score': 'positive', 'aspects': ['fan', 'stream', 'air', 'i', 'highy'], 'sentiments': [{'word': 'excellent', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'quiet', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}, {'word': 'recommended', 'sentiment': 'positive'}]}]","['product', 'fan', 'stream', 'air', 'i', 'highy']"
"wow, so good","[{'overall_score': 'positive', 'aspects': ['wow'], 'sentiments': [{'word': 'wow', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]","I've used other toys of this type, but this one is the best by far. The rotating and movement feels fantastic, and the moan sounds are very helpful. i love the different modes and the charge lasts over several uses, so you can use it a lot before you need to charge it again, provided you clean it between uses.","[{'overall_score': 'positive', 'aspects': ['i', 'toys', 'type', 'rotating', 'movement', 'feels', 'moan', 'sounds', 'modes', 'charge', 'uses', 'lot', 'uses'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}, {'word': 'fantastic', 'sentiment': 'positive'}, {'word': 'moan', 'sentiment': 'negative'}, {'word': 'helpful', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}, {'word': 'clean', 'sentiment': 'positive'}]}]","['wow', 'i', 'toys', 'type', 'rotating', 'movement', 'feels', 'moan', 'sounds', 'modes', 'charge', 'uses', 'lot', 'uses']"
Nice product,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}]}]","Well executed brass construction, Quality product.","[{'overall_score': 'positive', 'aspects': ['brass', 'construction', 'quality', 'product'], 'sentiments': [{'word': 'well', 'sentiment': 'positive'}]}]","['product', 'brass', 'construction', 'quality', 'product']"
not all there,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",i will never order from you again i was suppose to get a small bowl and a spoon with the steamer but all i got was the steamer will never order from you again,"[{'overall_score': 'negative', 'aspects': ['i', 'order', 'bowl', 'spoon', 'steamer', 'steamer', 'order'], 'sentiments': []}]","['i', 'order', 'bowl', 'spoon', 'steamer', 'steamer', 'order']"
Not worth it,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': [{'word': 'worth', 'sentiment': 'positive'}]}]",Not crazy about this model/brand. I’ve bought 5 different ones now seeking a good one and this one is hard to keep the attachments on and they fall off while using.,"[{'overall_score': 'negative', 'aspects': ['model/brand', 'ones', 'attachments'], 'sentiments': [{'word': 'crazy', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'hard', 'sentiment': 'negative'}, {'word': 'fall', 'sentiment': 'negative'}]}]","['model/brand', 'ones', 'attachments']"
So cute,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'cute', 'sentiment': 'positive'}]}]","Super cute and fluffy. Got these for my daughter and she loves them! They are a bit big for her but that’s fine, since the design goes around your whole foot no need for it to fit.","[{'overall_score': 'positive', 'aspects': ['cute', 'fluffy', 'daughter', 'bit', '’', 'fine', 'design', 'foot', 'need'], 'sentiments': [{'word': 'super', 'sentiment': 'positive'}, {'word': 'cute', 'sentiment': 'positive'}, {'word': 'loves', 'sentiment': 'positive'}, {'word': 'fine', 'sentiment': 'positive'}]}]","['cute', 'fluffy', 'daughter', 'bit', '’', 'fine', 'design', 'foot', 'need']"
Small and works well,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}]}]","Love the small size, the light. Purchased a different one as well as this to have a less expensive vacuum on my second floor. So far so good. Like that is small, has a mount, adjustable as well. Hopefully will last.","[{'overall_score': 'positive', 'aspects': ['size', 'light', 'one', 'vacuum', 'floor', 'mount'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'expensive', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'adjustable', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}]}]","['size', 'light', 'one', 'vacuum', 'floor', 'mount']"
Investment,"[{'overall_score': 'positive', 'aspects': ['investment'], 'sentiments': []}]",Exactly as described,"[{'overall_score': 'positive', 'aspects': ['described'], 'sentiments': []}]","['investment', 'described']"
"Tough plastic, durable.","[{'overall_score': 'positive', 'aspects': ['plastic'], 'sentiments': [{'word': 'tough', 'sentiment': 'positive'}, {'word': 'durable', 'sentiment': 'positive'}]}]","Have used twice to transport a mattress, once strapped tightly on top of my Forester. Still in good shape for next move.","[{'overall_score': 'positive', 'aspects': ['mattress', 'top', 'forester', 'shape', 'move'], 'sentiments': [{'word': 'top', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]","['plastic', 'mattress', 'top', 'forester', 'shape', 'move']"
BROKEN x2,"[{'overall_score': 'negative', 'aspects': ['x2'], 'sentiments': [{'word': 'broken', 'sentiment': 'negative'}]}]","How disappointing. I liked the style of these, easy order, quick shipping, but they dishes arrived damaged. I quickly returned, nice and easy, only to receive a 2nd set chipped/damaged. Returned again. Unacceptable.","[{'overall_score': 'negative', 'aspects': ['i', 'style', 'order', 'shipping', 'set'], 'sentiments': [{'word': 'disappointing', 'sentiment': 'negative'}, {'word': 'liked', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'damaged', 'sentiment': 'negative'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'unacceptable', 'sentiment': 'negative'}]}]","['x2', 'i', 'style', 'order', 'shipping', 'set']"
Good,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",Great product at a great price. Buy it and you’ll be glad you did! Makes a great gift too.,"[{'overall_score': 'positive', 'aspects': ['product', 'price', 'gift'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'glad', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['product', 'price', 'gift']"
Beautiful!!,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}]}]",I absolutely love this snow globe.  It comes on automatically each evening and works perfectly.  Just love it.,"[{'overall_score': 'positive', 'aspects': ['i', 'globe', 'evening'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'works', 'sentiment': 'positive'}, {'word': 'perfectly', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}]}]","['i', 'globe', 'evening']"
Poor shipping guidelines,"[{'overall_score': 'negative', 'aspects': ['shipping', 'guidelines'], 'sentiments': [{'word': 'poor', 'sentiment': 'negative'}]}]","Other than the fact that one of the nightgowns was literally: thrown into the bag it was shipped as it was extremely wrinkled, item was fine.","[{'overall_score': 'positive', 'aspects': ['fact', 'nightgowns', 'bag', 'item'], 'sentiments': [{'word': 'wrinkled', 'sentiment': 'negative'}, {'word': 'fine', 'sentiment': 'positive'}]}]","['shipping', 'guidelines', 'fact', 'nightgowns', 'bag', 'item']"
Great selection of colors.,"[{'overall_score': 'positive', 'aspects': ['selection', 'colors'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",The bands are colorful and a little stiff.  Improve with wear and time (flexibility of the bands).,"[{'overall_score': 'negative', 'aspects': ['bands', 'stiff', 'wear', 'time', 'flexibility', 'bands'], 'sentiments': [{'word': 'colorful', 'sentiment': 'positive'}, {'word': 'stiff', 'sentiment': 'negative'}, {'word': 'improve', 'sentiment': 'positive'}, {'word': 'flexibility', 'sentiment': 'positive'}]}]","['selection', 'colors', 'bands', 'stiff', 'wear', 'time', 'flexibility', 'bands']"
Beautiful,"[{'overall_score': 'positive', 'aspects': ['beautiful'], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}]}]",These are very beautiful in the garden,"[{'overall_score': 'positive', 'aspects': ['garden'], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}]}]","['beautiful', 'garden']"
easy to install and cheap price~,"[{'overall_score': 'positive', 'aspects': ['price~'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'cheap', 'sentiment': 'negative'}]}]",It got the right amount of padding on it and lightweight. Spent me only 5 mins to install. I'm happy with the purchase!,"[{'overall_score': 'positive', 'aspects': ['amount', 'mins', 'purchase'], 'sentiments': [{'word': 'right', 'sentiment': 'positive'}, {'word': 'happy', 'sentiment': 'positive'}]}]","['price~', 'amount', 'mins', 'purchase']"
Durable and fun.,"[{'overall_score': 'positive', 'aspects': ['fun'], 'sentiments': [{'word': 'durable', 'sentiment': 'positive'}, {'word': 'fun', 'sentiment': 'positive'}]}]",This product is exactly as expected. My grandson loves Imaginext and I was happy to add to his collection. It is easy to play with and fun.,"[{'overall_score': 'positive', 'aspects': ['product', 'grandson', 'i', 'collection', 'fun'], 'sentiments': [{'word': 'loves', 'sentiment': 'positive'}, {'word': 'happy', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'fun', 'sentiment': 'positive'}]}]","['fun', 'product', 'grandson', 'i', 'collection', 'fun']"
my daughter loves it!,"[{'overall_score': 'positive', 'aspects': ['daughter'], 'sentiments': [{'word': 'loves', 'sentiment': 'positive'}]}]",just as described and expected. faster than expected shipping.,"[{'overall_score': 'positive', 'aspects': ['shipping'], 'sentiments': [{'word': 'faster', 'sentiment': 'positive'}]}]","['daughter', 'shipping']"
i just love it so muchs,"[{'overall_score': 'positive', 'aspects': ['i'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]",good for your money,"[{'overall_score': 'positive', 'aspects': ['money'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]","['i', 'money']"
Cable is Very Thick,"[{'overall_score': 'negative', 'aspects': ['cable'], 'sentiments': []}]","Does the jo.  I should have considered the dimensions a bit more carefully.  The cable is rather unwieldy.  But if you need it to stay in place, this might be the one for you.","[{'overall_score': 'negative', 'aspects': ['jo', 'i', 'dimensions', 'bit', 'cable', 'place'], 'sentiments': [{'word': 'unwieldy', 'sentiment': 'negative'}]}]","['cable', 'jo', 'i', 'dimensions', 'bit', 'cable', 'place']"
Received scuffed shoes,"[{'overall_score': 'negative', 'aspects': ['scuffed', 'shoes'], 'sentiments': []}]",Shoes have been worn,"[{'overall_score': 'negative', 'aspects': ['shoes'], 'sentiments': [{'word': 'worn', 'sentiment': 'negative'}]}]","['scuffed', 'shoes', 'shoes']"
Still eats poo,"[{'overall_score': 'negative', 'aspects': ['poo'], 'sentiments': []}]",I have 3 rescue dogs 15 to 25 pounds and give them two  per day but still can't get 2 of them to stop eating poo. They love these no poo treats but still eat most of the poo. I have tried other brands and two jars of this brand but will not be buying any more.,"[{'overall_score': 'negative', 'aspects': ['i', 'dogs', 'pounds', 'day', 'poo', 'poo', 'treats', 'poo', 'i', 'brands', 'jars', 'brand'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]","['poo', 'i', 'dogs', 'pounds', 'day', 'poo', 'poo', 'treats', 'poo', 'i', 'brands', 'jars', 'brand']"
Face is smooth & is clearing,"[{'overall_score': 'positive', 'aspects': ['face'], 'sentiments': [{'word': 'smooth', 'sentiment': 'positive'}]}]",I use my steamer at least twice a week & I see a noticeable difference. Highly recommended.,"[{'overall_score': 'positive', 'aspects': ['i', 'steamer', 'week', 'i', 'difference'], 'sentiments': [{'word': 'recommended', 'sentiment': 'positive'}]}]","['face', 'i', 'steamer', 'week', 'i', 'difference']"
doesn't work,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}]}]","stopped working after 5 days, I don't have time to return it, I bought an other brand","[{'overall_score': 'negative', 'aspects': ['days', 'i', 'time', 'brand'], 'sentiments': []}]","['days', 'i', 'time', 'brand']"
Good robe fits a bit smaller than expected,"[{'overall_score': 'negative', 'aspects': ['robe'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",I purchased two robes of similar style in the same size and one was a tad too small and one a tad too big.  Its probably due to  the of the overseas manufacturing (China?),"[{'overall_score': 'negative', 'aspects': ['i', 'robes', 'style', 'size', 'tad', 'tad', 'manufacturing'], 'sentiments': []}]","['robe', 'i', 'robes', 'style', 'size', 'tad', 'tad', 'manufacturing']"
Great cream,"[{'overall_score': 'positive', 'aspects': ['cream'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","I just love this cream. It works 100% on any cut, scratch, bruise. It’s truly a good antibiotic. It covers wounds and cuts in a short period of time. It is my first choice over the counter. Thank you for delivering this cream so fast. Thank you.","[{'overall_score': 'positive', 'aspects': ['i', 'cream', '%', 'cut', 'scratch', 'bruise', 'antibiotic', 'wounds', 'cuts', 'period', 'time', 'choice', 'counter', 'thank', 'cream', 'thank'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'works', 'sentiment': 'positive'}, {'word': 'scratch', 'sentiment': 'negative'}, {'word': 'bruise', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'wounds', 'sentiment': 'negative'}, {'word': 'thank', 'sentiment': 'positive'}, {'word': 'fast', 'sentiment': 'positive'}, {'word': 'thank', 'sentiment': 'positive'}]}]","['cream', 'i', 'cream', '%', 'cut', 'scratch', 'bruise', 'antibiotic', 'wounds', 'cuts', 'period', 'time', 'choice', 'counter', 'thank', 'cream', 'thank']"
Extremely comfortable,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'comfortable', 'sentiment': 'positive'}]}]","Most comfortable undies I have worn in ages.  Doesn’t ride up, doesn’t bind., plenty  of crotch space. Lots of flattering colors too.","[{'overall_score': 'positive', 'aspects': ['undies', 'ages', 'doesn', 't', '’', 't', 'bind.', 'plenty', 'crotch', 'space', 'lots', 'colors'], 'sentiments': [{'word': 'comfortable', 'sentiment': 'positive'}, {'word': 'worn', 'sentiment': 'negative'}, {'word': 'flattering', 'sentiment': 'positive'}]}]","['undies', 'ages', 'doesn', 't', '’', 't', 'bind.', 'plenty', 'crotch', 'space', 'lots', 'colors']"
Awesome,"[{'overall_score': 'positive', 'aspects': ['awesome'], 'sentiments': [{'word': 'awesome', 'sentiment': 'positive'}]}]",Great purchase,"[{'overall_score': 'positive', 'aspects': ['purchase'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","['awesome', 'purchase']"
Good,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",Good,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",[]
"It protects my phone, is easy to grip, and it doesn't fade.","[{'overall_score': 'positive', 'aspects': ['phone'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}]}]",I've had this case for 3 months and it still looks new and has protected my phone from a few unexpected DROPS to the ground. I love the purple and it wipes clean with just a damp cloth. If I ever get tired of this color I will definetly order another one of the many colors it comes in.,"[{'overall_score': 'positive', 'aspects': ['i', 'case', 'months', 'phone', 'drops', 'ground', 'purple', 'cloth', 'color', 'i', 'order', 'colors'], 'sentiments': [{'word': 'unexpected', 'sentiment': 'negative'}, {'word': 'love', 'sentiment': 'positive'}, {'word': 'clean', 'sentiment': 'positive'}, {'word': 'tired', 'sentiment': 'negative'}]}]","['phone', 'i', 'case', 'months', 'phone', 'drops', 'ground', 'purple', 'cloth', 'color', 'i', 'order', 'colors']"
I love this.,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]",So soft and perfect thickness,"[{'overall_score': 'positive', 'aspects': ['thickness'], 'sentiments': [{'word': 'soft', 'sentiment': 'positive'}, {'word': 'perfect', 'sentiment': 'positive'}]}]",['thickness']
Great!,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",Exactly what I expected.  This will be super handy for my art projects.,"[{'overall_score': 'positive', 'aspects': ['i', 'handy', 'art', 'projects'], 'sentiments': [{'word': 'super', 'sentiment': 'positive'}, {'word': 'handy', 'sentiment': 'positive'}]}]","['i', 'handy', 'art', 'projects']"
Easy to use,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}]}]",My kids are liking it very much. This is very large inflatable pool. Very easy to use and good quality of it.  It takes a few seconds to inflate.,"[{'overall_score': 'positive', 'aspects': ['kids', 'pool', 'quality', 'seconds'], 'sentiments': [{'word': 'liking', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]","['kids', 'pool', 'quality', 'seconds']"
Good,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",Great product,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",['product']
Good size for an iPad,"[{'overall_score': 'positive', 'aspects': ['size', 'ipad'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",Perfect size for an iPad and a few other things.,"[{'overall_score': 'positive', 'aspects': ['size', 'ipad', 'things'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","['size', 'ipad', 'size', 'ipad', 'things']"
Product was delivered on time but didn't come with the Rechargeable battery.,"[{'overall_score': 'positive', 'aspects': ['product', 'time', 'battery'], 'sentiments': []}]",Product would probably work fine I had to go buy AA batteries because the Rechargeable battery didn't come with the product but the charging cable did.,"[{'overall_score': 'negative', 'aspects': ['product', 'i', 'batteries', 'battery', 'product', 'cable'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'fine', 'sentiment': 'positive'}]}]","['product', 'time', 'battery', 'product', 'i', 'batteries', 'battery', 'product', 'cable']"
N/,"[{'overall_score': 'neutral', 'aspects': ['n/'], 'sentiments': []}]",,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': []}]",['n/']
Not so good,"[{'overall_score': 'neutral', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",It doesn’t even kill the bugs.  I had to spray everyday for more then one week to get rid from Cockroaches,"[{'overall_score': 'negative', 'aspects': ['t', 'bugs', 'i', 'week', 'cockroaches'], 'sentiments': [{'word': 'kill', 'sentiment': 'negative'}, {'word': 'bugs', 'sentiment': 'negative'}]}]","['t', 'bugs', 'i', 'week', 'cockroaches']"
Good not great,"[{'overall_score': 'neutral', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","The look is cute and it is fairly comfortable,  but the watch face is a bit too heavy for it to feel secure.  I am constantly fighting to keep it in place on my wrist.","[{'overall_score': 'negative', 'aspects': ['look', 'watch', 'face', 'bit', 'secure', 'place', 'wrist'], 'sentiments': [{'word': 'cute', 'sentiment': 'positive'}, {'word': 'fairly', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}, {'word': 'secure', 'sentiment': 'positive'}]}]","['look', 'watch', 'face', 'bit', 'secure', 'place', 'wrist']"
Nice light weight men’s flannel robe,"[{'overall_score': 'positive', 'aspects': ['men', 'flannel', 'robe'], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}]}]","Purchased for my Dad and he loves it- soft, light weight flannel that is nice and warm","[{'overall_score': 'positive', 'aspects': ['dad', 'weight', 'flannel'], 'sentiments': [{'word': 'loves', 'sentiment': 'positive'}, {'word': 'soft', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'warm', 'sentiment': 'positive'}]}]","['men', 'flannel', 'robe', 'dad', 'weight', 'flannel']"
Best jacket,"[{'overall_score': 'positive', 'aspects': ['jacket'], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}]}]","This is my favorite jacket this far,  stylish and actually warm","[{'overall_score': 'positive', 'aspects': ['jacket'], 'sentiments': [{'word': 'favorite', 'sentiment': 'positive'}, {'word': 'stylish', 'sentiment': 'positive'}, {'word': 'warm', 'sentiment': 'positive'}]}]","['jacket', 'jacket']"
"great size, not too big or too little","[{'overall_score': 'positive', 'aspects': ['size'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","Love that it is two tone gold and silver, it is a great size, too. I have a small face and some of the coins are just too big  by the time you add a decent frame.","[{'overall_score': 'positive', 'aspects': ['love', 'tone', 'gold', 'silver', 'size', 'i', 'face', 'coins', 'time', 'frame'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'gold', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'decent', 'sentiment': 'positive'}]}]","['size', 'love', 'tone', 'gold', 'silver', 'size', 'i', 'face', 'coins', 'time', 'frame']"
IMPRESSED,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'impressed', 'sentiment': 'positive'}]}]","I was skeptical about buying something like this from Amazon, but I am highly highly impressed with this product!! It is so easy to use and is great quality!! I have done my finger nails, toenails, and have done my sisters as well!! I would recommend this to anyone who wants to save the money and do their own nails from home, you won’t regret it!","[{'overall_score': 'positive', 'aspects': ['i', 'something', 'amazon', 'product', 'quality', 'i', 'finger', 'nails', 'toenails', 'sisters', 'i', 'anyone', 'money', 'nails', 'home', '’', 't', 'regret'], 'sentiments': [{'word': 'skeptical', 'sentiment': 'negative'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'impressed', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'recommend', 'sentiment': 'positive'}, {'word': 'won', 'sentiment': 'positive'}, {'word': 'regret', 'sentiment': 'negative'}]}]","['i', 'something', 'amazon', 'product', 'quality', 'i', 'finger', 'nails', 'toenails', 'sisters', 'i', 'anyone', 'money', 'nails', 'home', '’', 't', 'regret']"
easy,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}]}]",it was easy to use,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}]}]",[]
Too much spring.,"[{'overall_score': 'negative', 'aspects': ['spring'], 'sentiments': []}]","It’s too difficult to have good control over the pups, as there’s too much give on both leash sections.","[{'overall_score': 'negative', 'aspects': ['control', 'pups', 'give', 'sections'], 'sentiments': [{'word': 'difficult', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}]}]","['spring', 'control', 'pups', 'give', 'sections']"
Perfect from the box.,"[{'overall_score': 'positive', 'aspects': ['perfect', 'box'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]",Easy setup out of the box. I am not a drone expert at all and was able to fly in 10 min.,"[{'overall_score': 'positive', 'aspects': ['box', 'drone', 'expert', 'min'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}]}]","['perfect', 'box', 'box', 'drone', 'expert', 'min']"
Lots of fun for kids,"[{'overall_score': 'positive', 'aspects': ['lots', 'fun', 'kids'], 'sentiments': [{'word': 'fun', 'sentiment': 'positive'}]}]",So many stickers  :) they help me to keep may little girls busy when i needed:),"[{'overall_score': 'positive', 'aspects': ['stickers', 'girls', 'i'], 'sentiments': []}]","['lots', 'fun', 'kids', 'stickers', 'girls', 'i']"
For beginners,"[{'overall_score': 'neutral', 'aspects': ['beginners'], 'sentiments': []}]",For beginners,"[{'overall_score': 'neutral', 'aspects': ['beginners'], 'sentiments': []}]","['beginners', 'beginners']"
Yes,"[{'overall_score': 'positive', 'aspects': ['yes'], 'sentiments': []}]",Yes,"[{'overall_score': 'positive', 'aspects': ['yes'], 'sentiments': []}]","['yes', 'yes']"
"It will keep your pants up. That's what you want, right?","[{'overall_score': 'positive', 'aspects': ['pants'], 'sentiments': [{'word': 'right', 'sentiment': 'positive'}]}]","Love that it's cut-to-fit. Very sturdy, and keeps my pants up when I'm carrying. That's the important part. And I have a chronic case of noassatall. Can carry a P80 in a belt loop OWB kydex without flashing a vertical smile. Very metal. ????","[{'overall_score': 'positive', 'aspects': ['love', 'pants', 'part', 'i', 'case', 'noassatall', 'p80', 'belt', 'loop', 'owb', 'kydex', 'smile'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'sturdy', 'sentiment': 'positive'}, {'word': 'important', 'sentiment': 'positive'}, {'word': 'chronic', 'sentiment': 'negative'}, {'word': 'smile', 'sentiment': 'positive'}]}]","['pants', 'love', 'pants', 'part', 'i', 'case', 'noassatall', 'p80', 'belt', 'loop', 'owb', 'kydex', 'smile']"
